User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user217,Product9,paid,,2022-07-31 08:52:00,2022-07-31,Direct,999.0,upi,INR,
user173,Product7,Initiated,,2022-07-31 08:38:00,2022-07-31,Direct,499.0,,INR,
user173,Product27,Initiated,,2022-07-31 08:35:00,2022-07-31,Direct,699.0,,INR,
user191,Product24,Initiated,,2022-07-31 08:29:00,2022-07-31,Direct,666.0,,INR,
user177,Product23,Initiated,,2022-07-31 08:11:00,2022-07-31,Direct,1499.0,,INR,
user192,Product4,Initiated,,2022-07-31 08:03:00,2022-07-31,Direct,2022.0,,INR,
user178,Product10,Initiated,,2022-07-31 08:00:00,2022-07-31,Direct,999.0,,INR,
user179,Product2,Initiated,,2022-07-31 07:27:00,2022-07-31,Direct,999.0,,INR,
user180,Product4,Initiated,,2022-07-31 06:52:00,2022-07-31,Direct,2022.0,,INR,
user195,Product3,Initiated,,2022-07-31 06:18:00,2022-07-31,Direct,149.0,,USD,
user196,Product9,paid,,2022-07-31 06:02:00,2022-07-31,Direct,999.0,upi,INR,
user197,Product9,Initiated,,2022-07-31 03:29:00,2022-07-30,Direct,999.0,,INR,
user200,Product8,Initiated,,2022-07-31 02:03:00,2022-07-30,Influencer,59.0,,USD,
user201,Product18,Initiated,,2022-07-31 01:54:00,2022-07-30,Direct,1999.0,,INR,
user182,Product4,paid,,2022-07-31 01:31:00,2022-07-30,Direct,2022.0,upi,INR,
user204,Product4,paid,,2022-07-31 01:31:00,2022-07-30,Direct,2022.0,upi,INR,
user203,Product25,Initiated,,2022-07-31 01:31:00,2022-07-30,Direct,1499.0,,INR,
user221,Product2,Initiated,,2022-07-31 01:26:00,2022-07-30,Direct,999.0,,INR,
user227,Product4,Initiated,,2022-07-31 00:20:00,2022-07-30,Direct,2022.0,,INR,
user207,Product8,Initiated,,2022-07-31 00:16:00,2022-07-30,Influencer,1499.0,,INR,
user208,Product26,Initiated,,2022-07-31 00:14:00,2022-07-30,Direct,999.0,,INR,
user208,Product8,Initiated,,2022-07-30 23:51:00,2022-07-30,Influencer,1499.0,,INR,
user223,Product6,Initiated,,2022-07-30 23:46:00,2022-07-30,Direct,899.0,,INR,
user224,Product3,Initiated,,2022-07-30 23:42:00,2022-07-30,Direct,1999.0,,INR,
user228,Product3,paid,,2022-07-30 23:19:00,2022-07-30,Direct,1999.0,netbanking,INR,HDFC
user225,Product8,Initiated,,2022-07-30 23:07:00,2022-07-30,Influencer,59.0,,USD,
user246,Product5,Initiated,,2022-07-30 22:06:00,2022-07-30,Direct,1999.0,,INR,
user247,Product5,Initiated,,2022-07-30 22:04:00,2022-07-30,Direct,1999.0,,INR,
user249,Product18,Initiated,,2022-07-30 21:45:00,2022-07-30,Direct,1999.0,,INR,
user234,Product5,Initiated,,2022-07-30 21:39:00,2022-07-30,Direct,1999.0,,INR,
user236,Product10,Initiated,,2022-07-30 21:34:00,2022-07-30,Direct,999.0,,INR,
user248,Product8,Initiated,,2022-07-30 21:29:00,2022-07-30,Direct,1499.0,,INR,
user267,Product2,Initiated,,2022-07-30 21:27:00,2022-07-30,Direct,999.0,,INR,
user268,Product5,Initiated,,2022-07-30 21:27:00,2022-07-30,Direct,1999.0,,INR,
user269,Product1,Initiated,,2022-07-30 20:58:00,2022-07-30,Direct,3999.0,,INR,
user252,Product1,Initiated,,2022-07-30 20:37:00,2022-07-30,Email,3999.0,,INR,
user251,Product3,Initiated,,2022-07-30 20:37:00,2022-07-30,Direct,1999.0,,INR,
user254,Product9,paid,,2022-07-30 20:29:00,2022-07-30,Direct,999.0,upi,INR,
user239,Product9,Initiated,,2022-07-30 19:26:00,2022-07-30,Direct,999.0,,INR,
user275,Product8,Initiated,,2022-07-30 19:15:00,2022-07-30,Influencer,59.0,,USD,
user276,Product3,Initiated,,2022-07-30 19:08:00,2022-07-30,Direct,1999.0,,INR,
user277,Product12,Initiated,,2022-07-30 19:07:00,2022-07-30,Influencer,1499.0,,INR,
user278,Product3,Initiated,,2022-07-30 18:55:00,2022-07-30,Direct,1999.0,,INR,
user279,Product20,Initiated,,2022-07-30 18:53:00,2022-07-30,Direct,1499.0,,INR,
user259,Product4,Initiated,,2022-07-30 18:50:00,2022-07-30,Direct,2022.0,,INR,
user242,Product3,Initiated,,2022-07-30 18:44:00,2022-07-30,Direct,1999.0,,INR,
user261,Product8,Initiated,,2022-07-30 18:29:00,2022-07-30,Direct,59.0,,USD,
user262,Product3,Initiated,,2022-07-30 18:25:00,2022-07-30,Direct,1999.0,,INR,
user263,Product3,Initiated,,2022-07-30 18:22:00,2022-07-30,Direct,1999.0,,INR,
user264,Product9,Initiated,,2022-07-30 18:17:00,2022-07-30,Direct,999.0,,INR,
user281,Product3,Initiated,,2022-07-30 18:03:00,2022-07-30,Direct,1999.0,,INR,
user265,Product4,paid,,2022-07-30 17:57:00,2022-07-30,Direct,2022.0,upi,INR,
user283,Product8,Initiated,,2022-07-30 17:13:00,2022-07-30,Influencer,1499.0,,INR,
user321,Product4,Initiated,,2022-07-30 17:08:00,2022-07-30,Direct,2022.0,,INR,
user288,Product3,Initiated,,2022-07-30 17:03:00,2022-07-30,Direct,1999.0,,INR,
user285,Product3,Initiated,,2022-07-30 16:56:00,2022-07-30,Direct,1999.0,,INR,
user322,Product4,Initiated,,2022-07-30 16:51:00,2022-07-30,Direct,2022.0,,INR,
user304,Product4,paid,,2022-07-30 16:47:00,2022-07-30,Direct,2022.0,upi,INR,
user323,Product29,Initiated,,2022-07-30 16:45:00,2022-07-30,Direct,1499.0,,INR,
user324,Product6,Initiated,,2022-07-30 16:42:00,2022-07-30,Direct,899.0,,INR,
user306,Product5,Initiated,,2022-07-30 16:08:00,2022-07-30,Direct,1999.0,,INR,
user290,Product4,Initiated,,2022-07-30 16:00:00,2022-07-30,Direct,2022.0,,INR,
user307,Product4,Initiated,,2022-07-30 15:54:00,2022-07-30,Direct,2022.0,,INR,
